[17:57:54] === overnight sweep start: 17 benches, iter_cap=500000, time_cap=35.0min, deadline=11.5h ===
[17:57:55] ibm01: fresh start from legalized reference
[19:40:56] ibm09: 60000 iters, fast=0.8842 tilos=0.8842 ov=0 (102s)
[19:41:31] ibm09: 80000 iters, fast=0.8806 tilos=0.8806 ov=0 (136s)
[19:42:05] ibm09: 100000 iters, fast=0.8763 tilos=0.8763 ov=0 (171s)
[19:42:40] ibm09: 120000 iters, fast=0.8734 tilos=0.8734 ov=0 (206s)
[19:43:14] ibm09: 140000 iters, fast=0.8716 tilos=0.8716 ov=0 (240s)
[19:43:49] ibm09: 160000 iters, fast=0.8701 tilos=0.8701 ov=0 (275s)
[19:44:24] ibm09: 180000 iters, fast=0.8659 tilos=0.8659 ov=0 (310s)
[19:44:58] ibm09: 200000 iters, fast=0.8642 tilos=0.8642 ov=0 (344s)
[19:45:34] ibm09: 220000 iters, fast=0.8631 tilos=0.8631 ov=0 (379s)
[19:46:08] ibm09: 240000 iters, fast=0.8620 tilos=0.8620 ov=0 (414s)
[19:46:43] ibm09: 260000 iters, fast=0.8611 tilos=0.8611 ov=0 (449s)
[19:47:17] ibm09: 280000 iters, fast=0.8606 tilos=0.8606 ov=0 (483s)
[19:47:52] ibm09: 300000 iters, fast=0.8596 tilos=0.8596 ov=0 (518s)
[19:48:27] ibm09: 320000 iters, fast=0.8591 tilos=0.8591 ov=0 (553s)
[19:49:01] ibm09: 340000 iters, fast=0.8583 tilos=0.8583 ov=0 (587s)
[19:49:36] ibm09: 360000 iters, fast=0.8576 tilos=0.8576 ov=0 (622s)
[19:50:10] ibm09: 380000 iters, fast=0.8571 tilos=0.8571 ov=0 (656s)
[19:50:45] ibm09: 400000 iters, fast=0.8567 tilos=0.8567 ov=0 (691s)
[19:51:19] ibm09: 420000 iters, fast=0.8564 tilos=0.8564 ov=0 (725s)
[19:51:53] ibm09: 440000 iters, fast=0.8561 tilos=0.8561 ov=0 (759s)
[19:52:28] ibm09: 460000 iters, fast=0.8554 tilos=0.8554 ov=0 (794s)
[19:53:03] ibm09: 480000 iters, fast=0.8549 tilos=0.8549 ov=0 (829s)
[19:53:38] ibm09: 500000 iters, fast=0.8546 tilos=0.8546 ov=0 (864s)
[19:53:38] ibm09: DONE (500000 iters, 864s)
[19:53:48] ibm10: fresh start from legalized reference
[19:54:50] ibm10: 20000 iters, fast=1.1512 tilos=1.1512 ov=0 (41s)
[19:55:46] ibm10: 40000 iters, fast=1.1223 tilos=1.1223 ov=0 (97s)
[19:56:43] ibm10: 60000 iters, fast=1.1052 tilos=1.1052 ov=0 (154s)
[19:57:41] ibm10: 80000 iters, fast=1.0970 tilos=1.0970 ov=0 (211s)
[19:58:37] ibm10: 100000 iters, fast=1.0905 tilos=1.0905 ov=0 (268s)
[19:59:36] ibm10: 120000 iters, fast=1.0866 tilos=1.0866 ov=0 (325s)
[20:00:32] ibm10: 140000 iters, fast=1.0829 tilos=1.0829 ov=0 (383s)
[20:01:28] ibm10: 160000 iters, fast=1.0805 tilos=1.0805 ov=0 (439s)
[20:02:25] ibm10: 180000 iters, fast=1.0775 tilos=1.0775 ov=0 (496s)
[20:03:21] ibm10: 200000 iters, fast=1.0756 tilos=1.0756 ov=0 (552s)
